sample	sample_name
SimonsH3_1527K	SimonsH3_1527K
SimonsH3_1748G	SimonsH3_1748G
SimonsH3_1514J	SimonsH3_1514J
SimonsH3_1590D	SimonsH3_1590D
SimonsH3_219A	SimonsH3_219A
SimonsH3_1744A	SimonsH3_1744A
SimonsH3_575A	SimonsH3_575A
SimonsH3_1649U	SimonsH3_1649U
SimonsH3_1752S	SimonsH3_1752S
SimonsH3_1856A	SimonsH3_1856A
SimonsH3_515A	SimonsH3_515A
SimonsH3_251A	SimonsH3_251A
SimonsH3_1030A	SimonsH3_1030A
SimonsH3_1527C	SimonsH3_1527C
SimonsH3_1650I	SimonsH3_1650I
SimonsH3_1842B	SimonsH3_1842B
SimonsH3_232B	SimonsH3_232B
SimonsH3_1745I	SimonsH3_1745I
SimonsH3_1579J	SimonsH3_1579J
SimonsH3_950A	SimonsH3_950A
SimonsH3_1866A	SimonsH3_1866A
SimonsH3_133A	SimonsH3_133A
SimonsH3_1520B	SimonsH3_1520B
SimonsH3_1743C2	SimonsH3_1743C2
SimonsH3_05B	SimonsH3_05B
SimonsH3_1744C	SimonsH3_1744C
SimonsH3_1749C	SimonsH3_1749C
SimonsH3_1572BB	SimonsH3_1572BB
SimonsH3_1572S	SimonsH3_1572S
SimonsH3_260A	SimonsH3_260A
SimonsH3_1947H	SimonsH3_1947H
SimonsH3_2073A	SimonsH3_2073A
SimonsH3_129A	SimonsH3_129A
SimonsH3_1745C	SimonsH3_1745C
SimonsH3_326B	SimonsH3_326B
SimonsH3_1399O	SimonsH3_1399O
SimonsH3_1752O	SimonsH3_1752O
SimonsH3_08A	SimonsH3_08A
SimonsH3_240A	SimonsH3_240A
SimonsH3_1751C	SimonsH3_1751C
SimonsH3_1581D	SimonsH3_1581D
SimonsH3_1162A	SimonsH3_1162A
SimonsH3_1168A	SimonsH3_1168A
SimonsH3_1174A	SimonsH3_1174A
SimonsH3_831C	SimonsH3_831C
SimonsH3_1179A	SimonsH3_1179A
SimonsH3_834G	SimonsH3_834G
SimonsH3_866A	SimonsH3_866A
SimonsH3_835A	SimonsH3_835A
SimonsH3_1050B	SimonsH3_1050B
SimonsH3_1066A	SimonsH3_1066A
SimonsH3_830G	SimonsH3_830G
SimonsH3_889A	SimonsH3_889A
SimonsH3_997A	SimonsH3_997A
SimonsH3_1137B	SimonsH3_1137B
SimonsH3_1161B	SimonsH3_1161B
SimonsH3_1106D	SimonsH3_1106D
SimonsH3_1758B	SimonsH3_1758B
SimonsH4_1758F	SimonsH4_1758F
SimonsH4_1764B	SimonsH4_1764B
SimonsH4_347A	SimonsH4_347A
SimonsH4_1905L	SimonsH4_1905L
SimonsH4_1777N	SimonsH4_1777N
SimonsH4_1905D	SimonsH4_1905D
SimonsH4_1765H	SimonsH4_1765H
SimonsH4_1324A	SimonsH4_1324A
SimonsH4_1900C	SimonsH4_1900C
SimonsH4_1768A	SimonsH4_1768A
SimonsH4_1777I	SimonsH4_1777I
SimonsH4_1764A	SimonsH4_1764A
SimonsH4_1327F	SimonsH4_1327F
SimonsH4_416A	SimonsH4_416A
SimonsH4_1696A	SimonsH4_1696A
SimonsH4_1771B1	SimonsH4_1771B1
SimonsH4_1797E	SimonsH4_1797E
SimonsH4_209A	SimonsH4_209A
SimonsH4_341A	SimonsH4_341A
SimonsH4_1561A	SimonsH4_1561A
SimonsH4_1682C3	SimonsH4_1682C3
SimonsH4_1659B	SimonsH4_1659B
SimonsH4_1714A	SimonsH4_1714A
SimonsH4_1771A	SimonsH4_1771A
SimonsH4_1906E	SimonsH4_1906E
SimonsH4_1746B2	SimonsH4_1746B2
SimonsH4_1577E	SimonsH4_1577E
SimonsH4_1579E	SimonsH4_1579E
SimonsH4_1575D	SimonsH4_1575D
SimonsH4_2053A	SimonsH4_2053A
SimonsH4_1401R	SimonsH4_1401R
SimonsH4_437A	SimonsH4_437A
SimonsH4_274C	SimonsH4_274C
SimonsH4_1748H	SimonsH4_1748H
SimonsH4_1534N	SimonsH4_1534N
SimonsH4_01A	SimonsH4_01A
SimonsH4_543A	SimonsH4_543A
SimonsH4_1841A	SimonsH4_1841A
SimonsH4_1527L	SimonsH4_1527L
SimonsH4_1568A	SimonsH4_1568A
SimonsH4_1744B	SimonsH4_1744B
SimonsH4_803A	SimonsH4_803A
SimonsH4_142A	SimonsH4_142A
SimonsH4_1572L	SimonsH4_1572L
SimonsH4_2092A	SimonsH4_2092A
SimonsH4_1579A	SimonsH4_1579A
SimonsH4_1839I	SimonsH4_1839I
SimonsH4_1404A	SimonsH4_1404A
SimonsH4_553A	SimonsH4_553A
SimonsH4_738A	SimonsH4_738A
SimonsH4_1746E	SimonsH4_1746E
SimonsH4_1571L	SimonsH4_1571L
SimonsH4_1520E	SimonsH4_1520E
SimonsH4_93A	SimonsH4_93A
SimonsH4_1873H	SimonsH4_1873H
SimonsH4_1581C	SimonsH4_1581C
SimonsH4_2083C	SimonsH4_2083C
SimonsH4_1572Z	SimonsH4_1572Z
SimonsH4_1536T	SimonsH4_1536T
SimonsH4_1949E	SimonsH4_1949E
SimonsH4_547A	SimonsH4_547A
SimonsH4_45A	SimonsH4_45A
SimonsH4_479C	SimonsH4_479C
SimonsH4_911B	SimonsH4_911B
SimonsH4_221A	SimonsH4_221A
SimonsH4_1573O	SimonsH4_1573O
SimonsH4_217A	SimonsH4_217A
SimonsH4_145A	SimonsH4_145A
SimonsH4_2086B	SimonsH4_2086B
SimonsH4_1160A	SimonsH4_1160A
SimonsH4_849A	SimonsH4_849A
SimonsH4_835B	SimonsH4_835B
SimonsH4_834B	SimonsH4_834B
SimonsH4_1128A	SimonsH4_1128A
SimonsH4_1048C	SimonsH4_1048C
SimonsH4_1123A	SimonsH4_1123A
SimonsH4_891A	SimonsH4_891A
SimonsH4_863A	SimonsH4_863A
SimonsH4_1007A	SimonsH4_1007A
SimonsH4_837G	SimonsH4_837G
SimonsH4_1048A	SimonsH4_1048A
SimonsH4_1010A	SimonsH4_1010A
SimonsH4_994A	SimonsH4_994A
SimonsH4_1137A	SimonsH4_1137A
SimonsH4_350B	SimonsH4_350B
SimonsH4_1124A	SimonsH4_1124A
SimonsH4_818C	SimonsH4_818C
SimonsH4_1177A	SimonsH4_1177A
SimonsH4_1779C	SimonsH4_1779C
SimonsH4_1900D	SimonsH4_1900D
SimonsH4_1065A	SimonsH4_1065A
SimonsH4_1779A	SimonsH4_1779A
SimonsH4_1059A	SimonsH4_1059A
SimonsH4_1053C	SimonsH4_1053C
SimonsH4_1067A	SimonsH4_1067A
SimonsH5_1810B	SimonsH5_1810B
SimonsH5_1751A	SimonsH5_1751A
SimonsH5_1283B	SimonsH5_1283B
SimonsH5_1694B	SimonsH5_1694B
SimonsH5_1283D	SimonsH5_1283D
SimonsH5_1283E	SimonsH5_1283E
SimonsH5_1901C	SimonsH5_1901C
SimonsH5_1518H	SimonsH5_1518H
SimonsH5_1915F	SimonsH5_1915F
SimonsH5_1769D	SimonsH5_1769D
SimonsH5_1906B	SimonsH5_1906B
SimonsH5_1404G	SimonsH5_1404G
SimonsH5_1590B	SimonsH5_1590B
SimonsH5_1746J	SimonsH5_1746J
SimonsH5_2093I	SimonsH5_2093I
SimonsH5_157A	SimonsH5_157A
SimonsH5_1580F	SimonsH5_1580F
SimonsH5_1582E	SimonsH5_1582E
SimonsH5_1572A	SimonsH5_1572A
SimonsH5_1590A	SimonsH5_1590A
SimonsH5_1579G	SimonsH5_1579G
SimonsH5_158B	SimonsH5_158B
SimonsH5_124A	SimonsH5_124A
SimonsH5_1864A	SimonsH5_1864A
SimonsH5_1583A	SimonsH5_1583A
SimonsH5_1625A	SimonsH5_1625A
SimonsH5_1947A	SimonsH5_1947A
SimonsH5_1748F	SimonsH5_1748F
SimonsH5_1587L	SimonsH5_1587L
SimonsH5_2084C	SimonsH5_2084C
SimonsH5_1527J	SimonsH5_1527J
SimonsH5_222B	SimonsH5_222B
SimonsH5_851A	SimonsH5_851A
SimonsH5_459A	SimonsH5_459A
SimonsH5_242A	SimonsH5_242A
SimonsH5_108A	SimonsH5_108A
SimonsH5_1538E	SimonsH5_1538E
SimonsH5_128A	SimonsH5_128A
SimonsH5_1034A	SimonsH5_1034A
SimonsH5_454B	SimonsH5_454B
SimonsH5_130A	SimonsH5_130A
SimonsH5_107A	SimonsH5_107A
SimonsH5_1410V	SimonsH5_1410V
SimonsH5_432A	SimonsH5_432A
SimonsH5_1023A	SimonsH5_1023A
SimonsH5_1536H	SimonsH5_1536H
SimonsH5_933A	SimonsH5_933A
SimonsH5_817B	SimonsH5_817B
SimonsH5_1125A	SimonsH5_1125A
SimonsH5_830B	SimonsH5_830B
SimonsH5_834A	SimonsH5_834A
SimonsH5_1046A	SimonsH5_1046A
SimonsH5_1161A	SimonsH5_1161A
SimonsH5_886A	SimonsH5_886A
SimonsH5_838A	SimonsH5_838A
SimonsH5_1171A	SimonsH5_1171A
SimonsH5_880A	SimonsH5_880A
SimonsH5_834E	SimonsH5_834E
SimonsH5_1158A	SimonsH5_1158A
SimonsH5_825A	SimonsH5_825A
SimonsH5_1147G	SimonsH5_1147G
SimonsH5_888A	SimonsH5_888A
SimonsH5_923B	SimonsH5_923B
SimonsH5_832B	SimonsH5_832B
SimonsH5_1520D	SimonsH5_1520D
SimonsH5_92A	SimonsH5_92A
SimonsH5_204A	SimonsH5_204A
SimonsH5_303A	SimonsH5_303A
SimonsH5_180A	SimonsH5_180A
SimonsH5_188A	SimonsH5_188A
SimonsH5_1713A	SimonsH5_1713A
SimonsH5_1902A	SimonsH5_1902A
SimonsH5_1785A	SimonsH5_1785A
SimonsH5_1785B	SimonsH5_1785B
SimonsH5_1749B	SimonsH5_1749B
SimonsH5_1126B	SimonsH5_1126B
SimonsH5_842A	SimonsH5_842A
SimonsH5_1900H	SimonsH5_1900H
SimonsH5_1575E	SimonsH5_1575E
SimonsH5_186A	SimonsH5_186A
SimonsH5_1172A	SimonsH5_1172A
SimonsH5_1052A	SimonsH5_1052A
SimonsH5_109A	SimonsH5_109A
SimonsH5_1743B	SimonsH5_1743B
SimonsH5_1654A	SimonsH5_1654A
SimonsH5_1122A	SimonsH5_1122A
SimonsH5_1520G	SimonsH5_1520G
SimonsH5_830D	SimonsH5_830D
SimonsH5_830E	SimonsH5_830E
SimonsH5_830F	SimonsH5_830F
SimonsH5_1127A	SimonsH5_1127A
SimonsH5_832D	SimonsH5_832D
SimonsH5_1872D	SimonsH5_1872D
SimonsH5_845A	SimonsH5_845A
SimonsH6_1794E	SimonsH6_1794E
