sample_id,reads,notes
SimonsH4_837G,4772,
SimonsH4_849A,6969,
SimonsH4_863A,137,
SimonsH4_891A,947,
SimonsH4_911B,24,
SimonsH4_93A,11021,
SimonsH4_994A,6885,
SimonsH5_1023A,18,
SimonsH5_1034A,7160,
SimonsH5_1046A,106,
SimonsH5_107A,33,
SimonsH5_108A,391,
SimonsH5_1122A,6537,
SimonsH5_1125A,130,
SimonsH5_1126B,44,
SimonsH5_1127A,1228,
SimonsH5_1147G,40,
SimonsH5_1158A,38170,
SimonsH5_1161A,16,
SimonsH5_1171A,163,
SimonsH5_124A,8326,
SimonsH5_1283B,302,
SimonsH5_1283D,125,
SimonsH5_1283E,39,
SimonsH5_128A,124,
SimonsH5_130A,311,
SimonsH5_1404G,38,
SimonsH5_1410V,96,
SimonsH5_1520D,56,
SimonsH5_1520G,292,
SimonsH5_1527J,15730,
SimonsH5_1536H,70,
SimonsH5_1538E,137,
SimonsH5_1572A,502,
SimonsH5_1575E,8,
SimonsH5_1579G,26,
SimonsH5_157A,9353,
SimonsH5_1580F,496,
SimonsH5_1583A,57,
SimonsH5_158B,9597,
SimonsH5_1590A,946,
SimonsH5_1590B,1577,
SimonsH5_1625A,37,
SimonsH5_1654A,84,
SimonsH5_1694B,62,
SimonsH5_1713A,11561,
SimonsH5_1743B,107,
SimonsH5_1746J,9413,
SimonsH5_1749B,136,
SimonsH5_1751A,53,
SimonsH5_1769D,359,
SimonsH5_1785A,67,
SimonsH5_1785B,3208,
SimonsH5_180A,71,
SimonsH5_1810B,140,
SimonsH5_186A,3,
SimonsH5_1872D,4,
SimonsH5_188A,552,
SimonsH5_1900H,28,
SimonsH5_1901C,80,
SimonsH5_1902A,16112,
SimonsH5_1906B,5,
SimonsH5_1915F,10703,
SimonsH5_204A,139,
SimonsH5_2084C,224,
SimonsH5_2093I,4661,
SimonsH5_242A,46336,
SimonsH5_303A,18795,
SimonsH5_432A,97,
SimonsH5_454B,69,
SimonsH5_459A,11,
SimonsH5_817B,679,
SimonsH5_825A,19,
SimonsH5_830B,47148,
SimonsH5_830D,677,
SimonsH5_830E,28101,
SimonsH5_830F,462,
SimonsH5_832B,53,
SimonsH5_832D,59,
SimonsH5_834A,882,
SimonsH5_834E,14332,
SimonsH5_838A,86,
SimonsH5_845A,265,
SimonsH5_851A,29,
SimonsH5_880A,1299,
SimonsH5_886A,20,
SimonsH5_888A,429,
SimonsH5_923B,6276,
SimonsH5_92A,62,
SimonsH5_933A,37808,
